Sample_ID,class,miR-135a-5p,miR-106b-5p,miR-93-3p,miR-205-5p,miR-93-5p,miR-200c-3p,miR-200a-3p,miR-19a-3p,miR-25-3p,miR-301b,miR-141-3p,miR-139-5p,miR-34c-5p,miR-34b-5p,miR-346,miR-217,miR-335-3p,miR-128-3p,miR-106b-3p,miR-210-3p,miR-873-5p,miR-216b-5p,miR-216a-5p,miR-4423-3p,miR-4423-5p
112-7316-3303_1,HGAT,20,51871,1932,14,63883,109,300,2150,71389,1119,178,725,304,64,349,99,9,19150,3606,34207,15,2,258,4,1
112-7316-3769_1,HGAT,17,16283,937,5,33527,42,80,3359,18157,767,29,1457,222,37,707,10,4,125036,1451,2480,178,8,18,4,4
112-7316-24_1,HGAT,14,19539,744,18,35437,160,87,1359,20610,445,154,1013,328,61,401,43,19,8469,1717,1456,38,21,36,15,10
112-7316-339_1,HGAT,6,4403,158,4,10054,22,6,689,14464,4,12,120,19,0,16,11,12,697,555,3167,14,0,1,1,1
104-7316-70_1,LGAT,336,9683,354,18,8925,117,211,6654,9556,178,172,1456,422,160,583,20,7,88219,486,2172,35,6,8,49,33
108-7316-3575_1,LGAT,151,2671,100,1,2030,28,54,1669,2447,86,41,346,51,66,129,6,3,33598,126,435,10,1,6,19,5
108-7316-925_1,LGAT,147,1793,72,1,1572,18,18,1911,2079,78,15,311,24,40,139,9,3,13250,88,189,17,4,4,6,4
108-7316-1767_1,LGAT,7,4426,106,2,3571,20,52,2135,5041,57,38,985,86,74,114,24,50,19498,200,359,0,1,44,0,1
108-7316-193_1,LGAT,160,2617,91,3,2692,13,55,1861,2490,104,37,6441,488,192,178,6,7,36944,109,192,356,1,7,6,1
108-7316-77_1,LGAT,124,3417,159,1,2737,7,49,2246,2498,194,9,940,35,158,371,4,4,22964,186,133,1,0,3,6,2
108-7316-2663_1,LGAT,306,2793,123,5,2328,8,40,2671,2574,140,15,728,116,157,284,35,26,17309,156,180,1,47,86,16,8
108-7316-2669_1,LGAT,24,2335,113,10,2054,3,30,2443,2053,112,8,455,94,97,210,1,9,11699,115,251,0,1,1,0,1
108-7316-2723_1,LGAT,115,2128,86,2,2028,22,54,1536,2116,48,27,388,184,59,281,9,7,16840,113,369,73,1,7,1,1
108-7316-2755_1,LGAT,21,2943,138,4,2645,10,28,1811,2275,99,10,586,85,77,373,7,5,20048,162,200,1,0,1,2,1
108-7316-954_1,LGAT,236,4340,123,4,3687,7,22,3194,4532,75,36,771,102,64,245,1467,6,11980,154,217,5,1412,2855,10,4
108-7316-84_1,LGAT,189,3537,127,6,2898,47,43,2617,3531,77,67,369,59,36,175,15,4,33836,145,700,23,12,10,56,38
108-7316-442_1,LGAT,116,3977,127,10,3308,41,52,1513,3637,91,42,525,134,116,270,15,13,15045,196,311,0,0,22,12,6
108-7316-459_1,LGAT,40,1804,63,1,1709,9,27,1258,1667,37,12,330,83,82,194,9,4,5276,66,957,1,3,6,8,0
108-7316-391_1,LGAT,77,2816,94,3,2339,12,18,2681,2181,111,18,152,82,67,273,23,6,9708,97,1340,0,2,33,2,0
108-7316-944_1,LGAT,209,2989,74,4,2289,28,42,2083,2888,85,51,279,82,141,109,17,13,9439,125,177,1,0,49,5,5
108-7316-2154_1,LGAT,40,3225,111,4,2780,25,103,2322,3344,45,46,356,233,93,75,34,6,1880,129,204,2,3,57,9,0
108-7316-3065_1,LGAT,14,2524,79,0,2043,19,39,1809,2447,91,31,62,191,111,218,25,3,7296,106,160,0,2,42,0,0
108-7316-146_1,LGAT,14,3044,109,2,2599,24,30,2335,2723,95,34,314,140,144,278,17,2,7836,126,500,0,6,20,21,10
108-7316-3055_1,LGAT,12,2928,89,3,2415,17,15,2024,2738,108,17,447,66,65,222,6,1,12407,153,155,1,0,4,0,2
108-7316-3308_1,LGAT,15,1972,50,6,1643,11,24,1288,1704,55,16,221,76,93,224,3,9,8441,85,147,0,0,4,0,3
108-7316-3062_1,LGAT,22,2727,127,3,2139,5,4,1848,2464,103,18,256,41,42,188,20,10,13690,121,831,0,0,4,3,1
108-7316-2899_1,LGAT,4050,6877,296,4,5643,10,31,3237,7138,121,14,5321,3065,843,119,712,33,2283,240,655,1,883,1852,102,113
108-7316-2664_1,LGAT,393,3086,83,3,1813,11,48,2396,1831,132,29,377,1894,588,45,72,18,2097,130,186,16,10,131,47,31
108-7316-1851_1,LGAT,346,2803,106,2,2808,11,36,2080,2531,59,21,149,310,130,295,15,6,13825,148,132,0,3,7,15,16
108-7316-3555_1,LGAT,7,2244,72,2,1927,7,25,1680,1901,87,10,325,67,88,219,4,12,10461,117,207,0,2,3,3,0
108-7316-3556_1,LGAT,107,2462,127,1,2459,22,62,1637,2312,63,24,641,98,80,336,12,4,15166,120,324,25,2,8,4,0
108-7316-3561_1,LGAT,118,1733,63,2,1694,21,16,1052,1587,71,21,581,98,67,297,18,4,13979,70,189,7,7,16,2,3
108-7316-3566_1,LGAT,116,2853,127,3,2643,10,30,1450,2714,54,18,418,111,149,362,15,12,12351,160,127,0,9,23,4,0
108-7316-3570_1,LGAT,90,1937,83,7,1965,22,35,1400,1791,63,32,3277,910,287,95,30,6,25802,71,159,227,11,62,14,3
108-7316-891_1,LGAT,12,8800,268,1,8411,7,22,7722,8026,232,11,675,24,8,35,3558,5,22983,363,585,36,4581,8469,4,0
108-7316-344_1,LGAT,50,4578,117,3,3956,14,30,2237,4894,41,24,783,75,80,154,9,4,11327,253,216,1,0,3,1,0
108-7316-217_1,LGAT,87,2058,75,8,1722,19,86,1481,1847,131,26,4690,75,74,217,4,4,21983,103,330,222,0,10,34,38
108-7316-368_1,LGAT,59,5531,159,8,4616,22,51,4365,3973,228,29,914,87,96,344,49,13,23910,248,339,2,68,133,3,8
108-7316-898_1,LGAT,7,4232,103,7,3267,36,26,2693,3821,79,26,292,121,133,282,12,7,6439,165,1332,2,1,9,2,1
108-7316-20_1,LGAT,38,3081,109,2,2435,7,22,2605,2212,148,10,840,55,113,334,14,18,24180,169,218,2,3,4,1,2
108-7316-235_1,LGAT,25,3450,84,4,2471,20,29,3090,3138,127,26,431,55,70,70,6,6,2042,137,295,5,0,2,4,3
108-7316-162_1,LGAT,55,2358,56,2,1887,14,18,1179,2136,35,18,410,94,68,204,5,4,19100,100,311,7,0,7,4,3
108-7316-148_1,LGAT,270,2209,83,1,1884,49,27,1480,1873,94,61,1390,3048,748,213,9,4,27298,91,525,24,2,13,18,13
108-7316-168_1,LGAT,7,2691,87,1,1967,17,26,1732,2540,99,18,400,74,86,182,8,6,12781,112,571,2,0,3,1,2
108-7316-472_1,LGAT,206,3206,126,9,3100,12,42,2525,2921,118,24,681,43,110,350,7,16,13069,166,178,21,9,29,22,5
108-7316-175_1,LGAT,39,2536,133,23,2374,78,114,2585,2922,92,83,537,269,231,162,43,23,7624,137,417,26,41,26,32,37
108-7316-449_1,LGAT,136,2633,102,5,2507,27,118,2169,2607,67,49,471,105,73,138,10,4,15348,131,415,18,2,7,9,5
108-7316-495_1,LGAT,89,2299,85,5,1830,17,12,1815,1961,75,17,411,56,111,180,10,10,13636,103,153,2,2,5,7,2
108-7316-1845_1,LGAT,10,4822,140,3,4215,35,38,1861,3201,56,32,742,66,99,247,8,16,10193,218,1547,2,0,6,0,1
108-7316-222_1,LGAT,14,4359,143,4,3252,12,27,1854,3207,115,33,474,168,117,222,15,19,11302,226,1915,0,1,19,4,4
108-7316-332_1,LGAT,16,2884,99,6,2283,6,17,2184,2333,112,14,371,66,88,235,11,8,16228,167,249,0,1,5,2,2
108-7316-121_1,LGAT,9,2834,105,3,2522,6,40,2122,2223,86,9,421,122,126,260,6,11,12718,144,198,1,3,6,6,5
108-7316-957_1,LGAT,20,6140,226,8,4772,24,65,4503,5804,160,40,983,163,233,399,15,17,21808,290,2739,0,1,14,13,12
108-7316-499_1,LGAT,67,3057,66,6,2008,24,20,1978,2850,68,30,294,121,187,147,8,18,5239,157,172,2,0,6,29,15
108-7316-345_1,LGAT,12,3892,139,9,2956,15,26,2634,2762,135,16,865,178,107,402,9,10,24764,189,166,1,1,2,0,2
108-7316-932_1,LGAT,153,2516,73,0,2479,35,79,1869,2320,59,76,394,69,84,107,15,2,3950,87,150,8,1,15,17,15
108-7316-2172_1,LGAT,16,2788,97,10,2322,10,30,1953,1949,108,22,344,82,87,327,12,5,14127,125,169,2,5,1,4,8
108-7316-2184_1,LGAT,22,3932,128,8,3482,10,35,2581,3341,171,27,688,104,84,218,25,6,14998,177,215,1,8,28,4,1
108-7316-485_1,LGAT,33,3269,110,6,2789,24,34,2217,3505,70,22,405,79,81,267,11,4,12266,174,376,0,7,10,13,6
108-7316-880_1,LGAT,366,3426,177,1,4022,12,35,2159,3091,152,27,740,50,26,207,5,0,5905,178,223,27,5,19,8,2
108-7316-362_1,LGAT,22,3084,125,5,3000,32,83,2051,2947,66,61,1030,257,115,210,38,8,9151,133,268,12,8,98,6,3
108-7316-117_1,LGAT,38,2971,124,4,2321,14,26,1838,2889,80,19,765,29,113,205,7,6,17826,116,148,0,0,4,10,5
108-7316-134_1,LGAT,44,3160,104,4,2816,18,48,1961,2677,199,28,700,294,146,296,12,7,11372,162,270,0,4,11,8,3
108-7316-2195_1,LGAT,101,2349,125,3,2970,45,70,1861,2482,87,83,8400,572,156,255,8,4,28196,131,276,513,3,7,20,10
108-7316-2583_1,LGAT,29,4118,84,5,3418,20,24,2398,4166,44,30,1136,428,105,126,36,2,5641,217,182,37,10,56,5,3
108-7316-2581_1,LGAT,1,3186,112,5,3156,31,50,2122,2980,50,44,548,110,66,96,15,4,3154,101,207,23,0,32,16,10
108-7316-186_1,LGAT,56,2590,89,8,2746,13,65,1390,2654,39,26,423,58,55,290,7,3,8416,113,747,0,1,4,56,21
108-7316-206_1,LGAT,40,2910,99,21,2646,39,62,1895,2483,96,35,287,100,91,418,40,22,13651,158,385,18,24,30,39,27
108-7316-207_1,LGAT,20,3171,107,1,2604,22,57,2079,2896,99,31,313,44,69,180,16,4,12354,174,197,36,8,22,1,1
108-7316-176_1,LGAT,56,3500,89,3,2606,19,62,3314,3340,17,29,232,5347,1390,58,5,15,4110,149,753,7,2,2,513,383
108-7316-119_1,LGAT,49,3968,143,6,3223,39,35,2637,3341,203,41,477,58,85,338,11,13,14212,190,201,5,0,9,2,3
108-7316-127_1,LGAT,11,3192,76,9,2668,17,28,2176,2779,87,9,560,78,74,248,5,4,13144,152,1205,3,5,8,6,8
108-7316-2147_1,LGAT,16,2930,84,7,2599,20,24,1961,3085,58,21,150,31,55,136,13,4,6873,153,712,5,2,17,10,5
108-7316-329_1,LGAT,54,3047,69,1,2728,6,14,2040,3239,71,26,141,100,34,156,8,0,3881,153,3833,0,3,41,1,2
108-7316-397_1,LGAT,26,2819,88,0,3078,33,74,2555,3067,73,50,2343,204,71,247,19,1,10135,130,177,55,10,28,9,6
108-7316-882_1,LGAT,127,2838,61,9,2613,48,64,1774,2799,36,48,551,1300,395,203,11,3,4496,122,443,44,4,29,74,42
112-7316-884_1,LGAT,156,7879,172,12,6404,170,134,3469,9091,109,251,757,463,305,62,129,15,4143,348,364,403,24,414,46,9
112-7316-460_1,LGAT,8,18537,196,0,16478,30,27,10551,20200,75,33,319,38,41,47,2,4,3775,704,574,2,1,2,1,1
112-7316-370_1,LGAT,211,7838,180,13,7345,48,144,5415,8201,132,87,1131,524,205,446,22,6,25227,402,681,92,15,19,32,14
112-7316-196_1,LGAT,393,5543,162,9,3928,88,78,2706,4578,122,104,1138,766,287,444,19,7,67479,271,540,28,20,17,70,20
112-7316-400_1,LGAT,62,7559,290,5,6497,34,41,5720,6214,364,44,911,121,125,470,25,27,34532,366,658,2,0,10,3,2
112-7316-154_1,LGAT,45,9871,161,4,7101,46,57,4914,9535,127,71,486,113,106,210,16,12,14508,437,5189,0,2,8,0,3
112-7316-393_1,LGAT,218,10272,323,8,10835,82,228,5299,9427,335,148,327,208,262,931,9,29,21853,357,772,0,1,0,5,2
112-7316-173_1,LGAT,130,13831,373,22,13740,318,587,7038,14371,286,317,842,1194,538,599,153,36,6101,792,3730,4,12,349,84,40
112-7316-2667_1,LGAT,115,11690,436,14,10337,24,164,6829,8307,478,51,1116,96,188,455,11,19,52946,559,423,4,1,4,5,1
112-7316-475_1,LGAT,59,7090,238,31,6281,50,150,4252,5636,370,100,2360,136,187,508,41,36,35565,346,688,35,43,45,37,29
112-7316-487_1,LGAT,75,9050,262,4,7966,38,46,7828,9075,279,42,261,91,138,457,28,21,24508,494,753,17,2,27,3,1
112-7316-1760_1,LGAT,1020,6718,125,13,4262,168,200,3896,6178,93,231,511,180,561,177,109,24,3043,399,618,5,13,113,52,26
112-7316-2174_1,LGAT,445,6834,237,5,4368,87,114,3565,5260,179,117,882,99,88,287,10,5,98108,301,960,14,7,5,2,6
112-7316-441_1,LGAT,50,7459,191,7,6990,46,135,4578,7193,230,74,1457,745,408,759,28,14,21542,322,720,1,3,25,9,5
112-7316-936_1,LGAT,1297,7377,234,74,6934,78,253,3623,7279,65,150,886,137,400,285,73,14,6235,366,547,12,16,68,39,13
112-7316-938_1,LGAT,5,8107,184,18,6453,53,60,3514,8053,116,82,1055,1051,585,176,48,26,35735,362,1262,4,28,61,10,6
112-7316-946_1,LGAT,214,7110,244,3,6742,42,129,3891,6027,196,72,1285,311,252,732,20,20,26972,305,572,1,9,18,50,18
112-7316-2193_1,LGAT,78,6211,168,13,4924,36,56,3444,6208,155,29,488,180,232,352,28,23,18676,261,323,1,13,47,8,6
112-7316-2900_1,LGAT,543,6656,207,12,6511,109,159,6401,8118,169,152,997,252,212,390,53,7,15984,342,834,34,22,68,66,21
112-7316-869_1,LGAT,80,6656,170,13,5756,37,98,3686,6161,199,52,1928,314,170,541,27,23,30226,340,458,6,7,25,22,16
112-7316-9_1,LGAT,1,5678,114,2,4999,10,45,1891,5364,85,18,479,89,40,133,8,3,8107,290,553,4,0,4,5,5
112-7316-167_1,LGAT,0,3,0,0,9,1,0,1,2,0,1,13,0,0,1,0,0,45,1,0,2,0,0,0,0
112-7316-2167_1,LGAT,41,5742,211,11,5456,54,162,3200,5558,205,82,682,201,143,729,16,6,20429,259,291,6,3,4,45,27
112-7316-3068_1,LGAT,4,6515,169,10,6777,7,23,3822,7772,60,32,517,146,55,268,28,7,8742,321,493,22,0,4,7,24
112-7316-32_1,LGAT,149,7377,276,3,8693,72,158,5494,6959,264,114,12324,420,145,632,14,6,15970,419,563,29,13,45,18,11
112-7316-891_1,LGAT,0,9126,351,8,10317,46,56,1005,8222,240,47,3109,180,28,763,24,6,35618,548,10631,1,0,16,2,1
112-7316-875_1,LGAT,32,8326,303,10,12532,131,137,1219,9120,144,140,24978,1123,201,689,8,10,71307,513,1136,1420,2,3,11,5
112-7316-2729_1,LGAT,0,10588,395,8,13178,65,67,1407,8726,170,103,765,495,88,1342,33,12,33376,618,3237,2,0,41,10,2
112-7316-350_1,LGAT,2,7724,213,24,8332,74,34,822,8704,85,74,1926,429,71,365,18,16,8070,790,665,6,4,14,29,5
112-7316-897_1,Medulloblastoma,1536,14971,465,3,9712,25,12,6897,12679,408,36,2562,153,57,21,6766,6,5422,591,764,1376,8308,14765,0,1
112-7316-333_2,Medulloblastoma,78,58517,1769,1,65987,11,50,49267,64722,890,36,211,125,51,29,33903,11,4941,2096,3150,188,50707,124794,2,4
112-7316-3023_3,Medulloblastoma,407,79546,2059,2,84170,24,42,51865,117362,1614,41,132,54,23,135,25606,32,7835,3153,1702,21,41642,76244,8,3
112-7316-378_1,Medulloblastoma,839,120199,3258,6,105650,60,163,38022,137556,7474,80,7937,2042,533,23,18863,9,21789,4709,3045,114,32099,44115,7,8
112-7316-179_1,Medulloblastoma,3,15483,568,0,18267,30,37,15186,15866,121,48,2452,154,69,9,24,3,7404,847,4256,1172,29,32,21,25
112-7316-178_1,Medulloblastoma,4254,66142,2068,5,79961,18,12,61045,82789,2838,41,214,135,45,22,14821,22,5706,3509,1841,0,27974,52613,0,1
112-7316-347_1,Medulloblastoma,1076,26906,843,1,29662,18,12,15979,31092,656,49,1505,145,30,22,7710,4,4913,1293,818,2386,10425,18096,0,0
112-7316-302_1,Medulloblastoma,138,41578,915,1,45889,61,8,13792,45790,476,125,3542,70,16,10,32282,4,15639,1233,2441,688,38820,56625,4,3
112-7316-358_1,Medulloblastoma,418,34139,899,1,43103,27,23,28809,31281,1860,42,2329,3645,928,27,6352,7,22791,1462,2976,1055,8659,13377,10,5
112-7316-922_1,Medulloblastoma,51,29829,1062,4,37001,26,24,34084,39891,666,40,478,73,27,12,13581,8,3401,1675,2273,18,23768,38958,2,3
112-7316-153_1,Medulloblastoma,77,26806,907,16,33865,14,6,34166,29629,2091,23,456,58,25,16,692,9,7860,1227,3188,13,792,1451,0,2
112-7316-937_1,Medulloblastoma,1436,18655,484,0,15489,6,14,9496,18820,466,23,1711,152,54,17,13593,8,4603,567,1237,1344,17932,30259,5,5
112-7316-304_1,Medulloblastoma,535,26661,715,1,34757,74,3,46082,27083,1074,150,2366,205,47,4,26726,7,39691,933,1697,21,25927,49500,2,0
112-7316-313_1,Medulloblastoma,451,60728,1556,1,50637,12,11,14534,63895,837,41,521,137,41,9,11755,5,8666,1734,903,502,15687,26813,0,1
112-7316-314_1,Medulloblastoma,657,21203,686,0,18345,8,3,6396,23760,459,31,1601,157,39,13,6350,2,3058,816,1346,2323,8181,15995,3,2
112-7316-3025_1,Medulloblastoma,10920,41727,979,7,35885,2,66,46759,43619,1073,17,415,325,80,18,18610,4,5119,720,4458,143,19895,55355,2,8
112-7316-2178_1,Medulloblastoma,438,53067,1931,2,71747,22,19,35715,68897,2556,54,2827,156,32,21,14658,8,23551,2398,2431,430,22358,39760,5,3
112-7316-38_1,Medulloblastoma,1397,40647,1288,0,41466,21,1,22394,37740,1211,34,5928,81,26,7,8290,4,8251,1045,1385,3541,10307,18864,1,2
112-7316-2155_1,Medulloblastoma,1967,26808,794,35,23592,15,12,14411,29073,491,37,1614,161,51,29,18217,15,10545,756,1629,8218,23316,44263,0,4
112-7316-6_1,Medulloblastoma,232,53076,1498,1,63102,15,46,48629,64554,1035,20,244,54,12,37,25260,32,3784,2142,1266,34,40792,73120,3,3
112-7316-99_1,Medulloblastoma,371,31958,866,20,35864,28,26,69516,24284,3333,50,2381,307,79,48,420,14,12329,638,2054,18,397,1071,9,5
112-7316-931_1,Medulloblastoma,96,84680,1927,8,76216,21,49,33050,123804,809,53,182,47,14,210,17087,24,6820,2244,2018,5,25249,37606,11,1
112-7316-906_1,Medulloblastoma,4688,35686,1260,3,44689,14,87,40745,35939,1430,40,456,103,33,9,17130,13,4463,1587,5136,12,19734,50679,0,2
112-7316-407_1,Medulloblastoma,329,26776,802,1,24137,21,6,10827,20341,553,41,2561,226,43,54,5879,1,11133,1018,1628,2778,8836,15745,5,1
112-7316-278_1,Medulloblastoma,16,42881,1165,5,49841,47,15,40659,91106,465,68,291,124,28,82,21328,11,3828,1961,724,53,31650,46844,4,8
112-7316-883_1,Medulloblastoma,42,33683,853,8,39948,32,3,60346,31408,2287,40,3692,69,15,17,19551,7,9615,800,4003,684,23440,35730,2,5
112-7316-2169_1,Medulloblastoma,460,23672,604,0,21788,15,4,4811,29439,267,22,1947,124,26,12,4185,1,7476,1037,870,679,6415,8537,0,0
112-7316-306_1,Medulloblastoma,594,52130,1474,21,49599,23,24,9241,45241,1216,57,2751,240,45,23,5216,7,15226,1990,1226,544,8604,15433,1,1
112-7316-1772_1,Medulloblastoma,215,19115,607,9,26361,67,303,48344,19870,1845,116,4360,853,239,855,3878,4,31083,1142,3735,367,5732,8010,30,17
112-7316-2986_1,Medulloblastoma,327,55162,1484,12,62078,31,5,20225,56368,1535,61,542,279,67,51,17562,5,56898,2364,4376,1019,25970,38727,4,2
112-7316-467_1,Medulloblastoma,1687,52469,1397,9,59290,33,23,9038,44474,976,89,4604,279,49,8,4396,6,40682,2234,433,1072,6608,11630,1,2